"ID","Canonical_ID"
"UCD___ASA 194",515
"UCD___ASA 195",516
"UCD___AST 010C",517
"UCD___AST 010G",518
"UCD___AST 010S",519
"UCD___AST 025",520
"UCD___ATM 005",521
"UCD___ATM 006",522
"UCD___ATM 010",523
"UCD___ATM 060",524
"UCD___ATM 110",525
"UCD___ATM 111",526
"UCD___ATM 115",527
"UCD___ATM 116",528
"UCD___ATM 120",529
"UCD___ATM 121A",530
"UCD___ATM 121B",531
"UCD___ATM 124",532
"UCD___ATM 128",533
"UCD___ATM 133",534
"UCD___ATM 149N",535
"UCD___ATM 150",536
"UCD___ATM 158",537
"UCD___ATM 160",538
"UCD___AVS 011",539
"UCD___AVS 013",540
"UCD___AVS 100",541
"UCD___AVS 103",542
"UCD___AVS 115",543
"UCD___AVS 123",544
"UCD___AVS 170",545
"UCD___BIS 002A",546
"UCD___BIS 002B",547
"UCD___BIS 002C",548
"UCD___BIS 002D",549
"UCD___BIS 010",550
"UCD___BIS 023A",551
"UCD___BIS 023B",552
"UCD___BIS 027A",553
"UCD___BIS 027B",554
"UCD___BIS 070",555
"UCD___BIS 101",556
"UCD___BIS 101V",557
"UCD___BIS 102",558
"UCD___BIS 103",559
"UCD___BIS 104",560
"UCD___BIS 105",561
"UCD___BIS 107",562
"UCD___BIS 122",563
"UCD___BIS 122P",564
"UCD___BIS 124",565
"UCD___BIS 133",566
"UCD___BIS 180L",567
"UCD___BIS 181",568
"UCD___BIS 183",569
"UCD___BIS 185L",570
"UCD___BIS 195A",571
"UCD___EBS 001",572
"UCD___EBS 075",573
"UCD___EBS 103",574
"UCD___EBS 114",575
"UCD___EBS 115",576
"UCD___EBS 120",577
"UCD___EBS 125",578
"UCD___EBS 127",579
"UCD___EBS 128",580
"UCD___EBS 130",581
"UCD___EBS 135",582
"UCD___EBS 144",583
"UCD___EBS 145",584
"UCD___EBS 147",585
"UCD___EBS 148",586
"UCD___EBS 161",587
"UCD___EBS 165",588
"UCD___EBS 170A",589
"UCD___EBS 175",590
"UCD___BIO 001",591
"UCD___BIO 002",592
"UCD___BIO 003",593
"UCD___BIM 020",594
"UCD___BIM 102",595
"UCD___BIM 105",596
"UCD___BIM 106",597
"UCD___BIM 108",598
"UCD___BIM 109",599
"UCD___BIM 110A",600
"UCD___BIM 110B",601
"UCD___BIM 110C",602
"UCD___BIM 111",603
"UCD___BIM 116",604
"UCD___BIM 117",605
"UCD___BIM 118",606
"UCD___BIM 120",607
"UCD___BIM 125",608
"UCD___BIM 126",609
"UCD___BIM 140",610
"UCD___BIM 141",611
"UCD___BIM 142",612
"UCD___BIM 143",613
"UCD___BIM 144",614
"UCD___BIM 145",615
"UCD___BIM 146",616
"UCD___BIM 151",617
"UCD___BIM 152",618
"UCD___BIM 154",619
"UCD___BIM 155",620
"UCD___BIM 161A",621
"UCD___BIM 161L",622
"UCD___BIM 162",623
"UCD___BIM 163",624
"UCD___BIM 167",625
"UCD___BIM 171",626
"UCD___BIM 173",627
"UCD___BIM 180",628
"UCD___BIM 181",629
"UCD___BIT 001Y",630
"UCD___BIT 150",631
"UCD___BIT 160",632
"UCD___BIT 161A",633
"UCD___BIT 161B",634
"UCD___BIT 171",635
"UCD___BIT 188",636
"UCD___CHA 101",637
"UCD___CHA 101L",638
"UCD___CHA 102",639
"UCD___CHA 103",640
"UCD___CHA 105",641
"UCD___ECH 001",642
"UCD___ECH 001Y",643
"UCD___ECH 002Y",644
"UCD___ECH 005",645
"UCD___ECH 051",646
"UCD___ECH 060",647
"UCD___ECH 140",648
"UCD___ECH 141",649
"UCD___ECH 142",650
"UCD___ECH 143",651
"UCD___ECH 144",652
"UCD___ECH 145A",653
"UCD___ECH 145B",654
"UCD___ECH 148A",655
"UCD___ECH 148B",656
"UCD___ECH 152A",657
"UCD___ECH 152B",658
"UCD___ECH 155",659
"UCD___ECH 157",660
"UCD___ECH 158AN",661
"UCD___ECH 158BN",662
"UCD___ECH 158C",663
"UCD___ECH 160",664
"UCD___ECH 161AN",665
"UCD___ECH 161BN",666
"UCD___ECH 161C",667
"UCD___ECH 161L",668
"UCD___ECH 166",669
"UCD___ECH 168",670
"UCD___ECH 170",671
"UCD___ECH 171",672
"UCD___ECH 172",673
"UCD___ECH 172V",674
"UCD___CHE 001",675
"UCD___CHE 001V",676
"UCD___CHE 002A",677
"UCD___CHE 002AH",678
"UCD___CHE 002B",679
"UCD___CHE 002BH",680
"UCD___CHE 002C",681
"UCD___CHE 002CH",682
"UCD___CHE 003A",683
"UCD___CHE 003B",684
"UCD___CHE 003C",685
"UCD___CHE 004A",686
"UCD___CHE 004B",687
"UCD___CHE 004C",688
"UCD___CHE 008B",689
"UCD___CHE 010",690
"UCD___CHE 100",691
"UCD___CHE 103A",692
"UCD___CHE 103B",693
"UCD___CHE 104",694
"UCD___CHE 105",695
"UCD___CHE 107A",696
"UCD___CHE 107B",697
"UCD___CHE 108",698
"UCD___CHE 110A",699
"UCD___CHE 110B",700
"UCD___CHE 110C",701
"UCD___CHE 115",702
"UCD___CHE 118A",703
"UCD___CHE 118B",704
"UCD___CHE 118C",705
"UCD___CHE 121",706
"UCD___CHE 122",707
"UCD___CHE 124A",708
"UCD___CHE 124B",709
"UCD___CHE 124C",710
"UCD___CHE 125",711
"UCD___CHE 128A",712
"UCD___CHE 128B",713
"UCD___CHE 128C",714
"UCD___CHE 130A",715
"UCD___CHE 130B",716
"UCD___CHE 131",717
"UCD___CHE 135",718
"UCD___CHE 145",719
"UCD___CHE 150",720
"UCD___CHE 155",721
"UCD___CHE 168",670
"UCD___CHI 010",722
"UCD___CHI 021",723
"UCD___CHI 021S",724
"UCD___CHI 023",725
"UCD___CHI 030",726
"UCD___CHI 040",727
"UCD___CHI 040S",728
"UCD___CHI 042",729
"UCD___CHI 050",730
"UCD___CHI 060",731
"UCD___CHI 065",732
"UCD___CHI 070",733
"UCD___CHI 073",734
"UCD___CHI 100",735
"UCD___CHI 102A",736
"UCD___CHI 102B",737
"UCD___CHI 102C",738
"UCD___CHI 110",739
"UCD___CHI 110V",740
"UCD___CHI 111",741
"UCD___CHI 112",742
"UCD___CHI 113",743
"UCD___CHI 113V",744
"UCD___CHI 114",745
"UCD___CHI 114S",746
"UCD___CHI 114V",747
"UCD___CHI 119V",748
"UCD___CHI 120",749
"UCD___CHI 121",750
"UCD___CHI 122",751
"UCD___CHI 122S",752
"UCD___CHI 123",753
"UCD___CHI 125S",754
"UCD___CHI 130",755
"UCD___CHI 131",756
"UCD___CHI 131S",757
"UCD___CHI 132",758
"UCD___CHI 135S",759
"UCD___CHI 136",760
"UCD___CHI 140A",761
"UCD___CHI 141",762
"UCD___CHI 141V",763
"UCD___CHI 145S",764
"UCD___CHI 146S",765
"UCD___CHI 147S",766
"UCD___CHI 148",767
"UCD___CHI 150",768
"UCD___CHI 154",769
"UCD___CHI 155",770
"UCD___CHI 156",771
"UCD___CHI 157",772
"UCD___CHI 158",773
"UCD___CHI 160",774
"UCD___CHI 161",775
"UCD___CHI 165",776
"UCD___CHI 170",777
"UCD___CHI 171",481
"UCD___CHI 172",778
"UCD___CHI 180",779
"UCD___CHI 181",780
"UCD___CHI 182",781
"UCD___CHI 184",782
"UCD___CHI 184S",783
"UCD___CHI 188A",784
"UCD___CHN 001",785
"UCD___CHN 001A",786
"UCD___CHN 001BL",787
"UCD___CHN 001CN",788
"UCD___CHN 002",789
"UCD___CHN 002BL",790
"UCD___CHN 002CN",791
"UCD___CHN 003",792
"UCD___CHN 003BL",793
"UCD___CHN 003CN",794
"UCD___CHN 004",795
"UCD___CHN 004A",796
"UCD___CHN 005",797
"UCD___CHN 006",798
"UCD___CHN 007",799
"UCD___CHN 009",800
"UCD___CHN 010",801
"UCD___CHN 011",802
"UCD___CHN 050",803
"UCD___CHN 100A",804
"UCD___CHN 100B",805
"UCD___CHN 101",806
"UCD___CHN 103",807
"UCD___CHN 104",808
"UCD___CHN 105",809
"UCD___CHN 106",810
"UCD___CHN 107",811
"UCD___CHN 108",812
"UCD___CHN 109A",813
"UCD___CHN 109C",814
"UCD___CHN 109D",815
"UCD___CHN 109E",816
"UCD___CHN 109G",817
"UCD___CHN 109H",818
"UCD___CHN 109I",819
"UCD___CHN 110",820
"UCD___CHN 111",821
"UCD___CHN 111A",822
"UCD___CHN 112",823
"UCD___CHN 113",824
"UCD___CHN 114",825
"UCD___CHN 115",826
"UCD___CHN 116",827
"UCD___CHN 118",828
"UCD___CHN 120",829
"UCD___CHN 122",830
"UCD___CHN 122V",831
"UCD___CHN 130",832
"UCD___CHN 131",833
"UCD___CHN 132",834
"UCD___CHN 133",835
"UCD___CHN 134",836
"UCD___CHN 140",837
"UCD___CHN 150",838
"UCD___CHN 160",839
"UCD___CDM 001",840
"UCD___CDM 002",841
"UCD___CDM 003",842
"UCD___CDM 012",843
"UCD___CDM 020",844
"UCD___CDM 020V",845
"UCD___CDM 040A",846
"UCD___CDM 040B",847
"UCD___CDM 041A",848
"UCD___CDM 041B",849
"UCD___CDM 041BV",850
"UCD___CDM 072",851
"UCD___CDM 100",852
"UCD___CDM 101",853
"UCD___CDM 103",854
"UCD___CDM 104",855
"UCD___CDM 105",856
"UCD___CDM 107",857
"UCD___CDM 111",858
"UCD___CDM 113",859
"UCD___CDM 121",860
"UCD___CDM 121V",861
"UCD___CDM 122",862
"UCD___CDM 122V",863
"UCD___CDM 123",864
"UCD___CDM 125",865
"UCD___CDM 130",866
"UCD___CDM 131",867
"UCD___CDM 135",868
"UCD___CDM 136",869
"UCD___CDM 137",870
"UCD___CDM 139",871
"UCD___CDM 140",872
"UCD___CDM 151",873
"UCD___CDM 156",874
"UCD___CDM 158",168
"UCD___CDM 162",875
"UCD___CDM 163",876
"UCD___CDM 163V",877
"UCD___CDM 165E",878
"UCD___CDM 165L",879
"UCD___CDM 166",880
"UCD___CDM 167",881
"UCD___CDM 170",882
"UCD___CDM 171",883
"UCD___CDM 172",884
"UCD___CDM 173",885
"UCD___CDM 174",886
"UCD___CDM 175",887
"UCD___CDM 176",888
"UCD___CDM 177",889
"UCD___CDM 178",890
"UCD___CDM 189",891
"UCD___CDM 190",892
"UCD___CTS 116",893
"UCD___CTS 124E",894
"UCD___CTS 146A",895
"UCD___CTS 146B",289
"UCD___CTS 148B",896
"UCD___CTS 162",875
"UCD___ECI 003",897
"UCD___ECI 040",898
"UCD___ECI 100",899
"UCD___ECI 101",900
"UCD___ECI 114",901
"UCD___ECI 115",902
"UCD___ECI 122",903
"UCD___ECI 123",904
"UCD___ECI 130",905
"UCD___ECI 131",906
"UCD___ECI 132",907
"UCD___ECI 133",908
"UCD___ECI 134",909
"UCD___ECI 135",910
"UCD___ECI 136",911
"UCD___ECI 137",912
"UCD___ECI 138",913
"UCD___ECI 139",914
"UCD___ECI 140A",915
"UCD___ECI 140B",916
"UCD___ECI 140CN",917
"UCD___ECI 141",918
"UCD___ECI 142",919
"UCD___ECI 144",920
"UCD___ECI 145",921
"UCD___ECI 146",922
"UCD___ECI 149N",535
"UCD___ECI 153",923
"UCD___ECI 155",924
"UCD___ECI 161",925
"UCD___ECI 162",926
"UCD___ECI 163",927
"UCD___ECI 164",928
"UCD___ECI 165",929
"UCD___ECI 171",930
"UCD___ECI 173",931
"UCD___ECI 175",932
"UCD___ECI 178",933
"UCD___ECI 179",934
"UCD___ECI 181",935
"UCD___ECI 182",936
"UCD___ECI 183",937
"UCD___ECI 193A",938
"UCD___ECI 193B",939
"UCD___CLA 001",940
"UCD___CLA 002",941
"UCD___CLA 003",942
"UCD___CLA 004",943
"UCD___CLA 008",944
